entry,exit
34.8,34.78
34.8,34.81
34.81,34.78
34.78,34.73
34.78,34.73
34.73,34.72
34.73,34.72
34.72,34.73
34.73,34.71
34.71,34.69
34.69,34.72
34.72,34.69
34.69,34.68
34.68,34.67
34.67,34.71
34.71,34.72
34.72,34.73
34.73,34.76
34.76,34.72
34.72,34.71
34.72,34.71
34.71,34.68
34.68,34.69
34.69,34.67
34.67,34.66
34.67,34.66
34.67,34.66
34.66,34.65
34.66,34.65
34.65,34.61
34.65,34.66
34.65,34.65
34.65,34.66
34.65,34.66
34.65,34.66
34.65,34.66
34.65,34.66
34.66,34.65
34.64,34.65
34.65,34.71
34.71,34.7
34.71,34.7
34.7,34.69
34.69,34.72
34.69,34.72
34.72,34.73
34.73,34.74
34.74,34.73
34.73,34.72
34.72,34.73
34.73,34.74
34.74,34.73
34.73,34.74
34.725,34.74
34.74,34.73
34.745,34.75
34.75,34.745
34.73,34.74
34.74,34.73
34.74,34.74
34.74,34.73
34.74,34.73
34.73,34.74
34.74,34.74
34.74,34.73
34.73,34.74
34.74,34.73
34.74,34.73
34.73,34.74
34.73,34.74
34.74,34.73
34.74,34.73
34.73,34.74
34.735,34.75
34.73,34.74
34.73,34.75
34.74,34.75
34.74,34.75
34.75,34.73
34.74,34.73
34.73,34.74
34.74,34.73
34.74,34.73
34.73,34.75
34.73,34.75
34.75,34.76
34.76,34.75
34.76,34.75
34.75,34.755
34.755,34.73
34.7598,34.75
34.755,34.75
34.75,34.73
34.73,34.71
34.71,34.72
34.72,34.7
34.72,34.7
34.7,34.69
34.69,34.671
34.685,34.671
34.671,34.66
34.67,34.62
34.66,34.62
34.62,34.64
34.63,34.62
34.62,34.64
34.64,34.61
34.64,34.61
34.65,34.64
34.64,34.61
34.61,34.585
34.585,34.57
34.58,34.56
34.58,34.57
34.57,34.56
34.56,34.58
34.58,34.56
34.57,34.59
34.59,34.56
34.56,34.58
34.56,34.58
34.58,34.59
34.575,34.59
34.59,34.55
34.58,34.55
34.58,34.55
34.55,34.57
34.56,34.54
34.54,34.57
34.57,34.62
34.565,34.58
34.58,34.62
34.62,34.61
34.62,34.6
34.615,34.6
34.61,34.62
34.6,34.62
34.59,34.62
34.62,34.64
34.615,34.64
34.615,34.64
34.64,34.66
34.66,34.63
34.66,34.63
34.63,34.64
34.63,34.6
34.63,34.64
34.64,34.62
34.63,34.6
34.62,34.6
34.62,34.6
34.6,34.63
34.59,34.63
34.63,34.6
34.64,34.62
34.64,34.63
34.63,34.62
34.62,34.6
34.6,34.57
34.61,34.6
34.6,34.59
34.59,34.57
34.57,34.58
34.58,34.6
34.57,34.59
34.57,34.59
34.59,34.62
34.6,34.62
34.59,34.62
34.585,34.62
34.62,34.65
34.65,34.62
34.65,34.64
34.64,34.62
34.64,34.62
34.62,34.6
34.6,34.57
34.6,34.57
34.57,34.55
34.55,34.53
34.56,34.53
34.53,34.5
34.5,34.52
34.52,34.54
34.54,34.52
34.55,34.52
34.52,34.5
34.5,34.48
34.48,34.46
34.46,34.48
34.45,34.48
34.47,34.43
34.48,34.43
34.47,34.43
34.47,34.43
34.43,34.45
34.43,34.45
34.44,34.46
34.45,34.43
34.45,34.43
34.46,34.43
34.43,34.41
34.41,34.44
34.41,34.44
34.42,34.44
34.44,34.42
34.42,34.405
34.405,34.39
34.4,34.44
34.39,34.41
34.41,34.44
34.44,34.46
34.43,34.46
34.46,34.43
34.45,34.43
34.45,34.43
34.45,34.43
34.43,34.45
34.44,34.43
34.43,34.45
34.45,34.49
34.45,34.45
34.45,34.49
34.45,34.49
34.46,34.49
34.49,34.52
34.5,34.52
34.5,34.46
